"PRO_ID";"PRO_NAME";"PRO_DESC";"CAT_ID"
1;"GTA V";"Windows 7 and above with i5 processor and 8GB RAM";2
2;"TSHIRT";"SIZE-L with Black, Blue and White variations";5
3;"ROG LAPTOP";"Windows 10 with 15inch screen, i7 processor, 1TB SSD";4
4;"OATS";"Highly Nutritious from Nestle";3
5;"HARRY POTTER";"Best Collection of all time by J.K Rowling";1
6;"MILK";"1L Toned MIlk";3
7;"Boat EarPhones";"1.5Meter long Dolby Atmos";4
8;"Jeans";"Stretchable Denim Jeans with various sizes and color";5
9;"Project IGI";"compatible with windows 7 and above";2
10;"Hoodie";"Black GUCCI for 13 yrs and above";5
11;"Rich Dad Poor Dad";"Written by RObert Kiyosaki";1
12;"Train Your Brain";"By Shireen Stephen";1
